rain,tmax,tmin,srad,lon,lat,AWC,SBDM_mean,SLOC_mean,SLCL_mean,SLSI_mean,SLHW_mean,SCEC_mean,rain_more_50,maxt_sum2,irrigation,zone,scenario
64,300.54999999999995,285.65,23.3,93.516667,42.816667,150.66666666666697,1.36333333333333,0.886666666666667,22.71,48.69,7.89,19.5333333333333,0,0.449999999999999,irrigated,9,T+10%
237,291.34999999999997,283.95,13.2,108.4,30.766667,134.0,1.41333333333333,1.06,26.4833333333333,38.6166666666667,6.33333333333333,13.9,0,0.0,rainfed,6,T-10%
167,287.34999999999997,277.75,12.3,115.55,34.816667,143.333333333333,1.41333333333333,1.42,25.0166666666667,44.2066666666667,7.42333333333333,20.7666666666667,0,0.0,irrigated,4,T+5%
222,288.15,274.04999999999995,13.7,111.783333,37.25,128.33333333333303,1.36333333333333,2.1,20.91,37.9866666666667,7.01666666666667,19.7666666666667,0,0.0,irrigated,3,T-5%
369,288.75,280.54999999999995,13.2,116.3,32.366667,153.333333333333,1.41333333333333,1.51666666666667,26.6933333333333,48.8333333333333,6.66666666666667,18.0,1,0.0,irrigated,4,T0
109,299.65,286.65,22.2,121.283333,43.6,135.0,1.42333333333333,1.49,19.51,42.4466666666667,7.34333333333333,17.3333333333333,0,5.95,irrigated,1,T-5%
426,288.45,279.15,12.4,114.35,32.616667,161.666666666667,1.57333333333333,1.29333333333333,27.5,53.19,6.23,20.8333333333333,2,0.0,irrigated,4,T+10%
235,288.54999999999995,278.65,12.6,114.783333,34.533333,146.333333333333,1.44333333333333,1.49,26.7766666666667,44.7633333333333,7.22,20.9,0,0.0,irrigated,4,T+5%
99,288.25,276.84999999999997,13.1,114.833333,38.033333,127.333333333334,1.45333333333333,1.55333333333333,22.1366666666667,37.1966666666667,7.23,21.3333333333333,0,0.0,irrigated,4,T-5%
389,289.95,284.04999999999995,9.3,107.683333,29.866667,137.666666666667,1.38333333333333,1.33666666666667,29.86,38.6633333333333,6.16333333333333,17.4333333333333,0,0.0,rainfed,6,T-5%
139,285.84999999999997,275.45,12.5,114.833333,38.033333,127.333333333334,1.45333333333333,1.55333333333333,22.1366666666667,37.1966666666667,7.23,21.3333333333333,0,0.0,irrigated,4,T-5%
403,289.65,281.84999999999997,10.7,107.8,30.683333,137.99999999999997,1.37333333333333,0.866666666666667,28.3233333333333,39.38,6.27333333333333,13.4,0,0.0,rainfed,6,T+10%
218,287.95,277.65,13.6,110.45,35.466667,124.66666666666701,1.40666666666667,1.56333333333333,20.6533333333333,36.5566666666667,6.89666666666667,17.2,0,0.0,irrigated,4,T0
166,285.65,273.75,14.6,116.383333,39.116667,135.666666666666,1.37333333333333,1.27666666666667,22.97,40.9366666666667,7.34,22.0666666666667,0,0.0,irrigated,3,T-5%
354,286.04999999999995,276.75,15.4,107.633333,35.733333,119.666666666667,1.37333333333333,2.22,20.8766666666667,33.75,6.88333333333333,18.3,0,0.0,rainfed,3,T+5%
426,288.45,279.15,12.4,114.35,32.616667,161.666666666667,1.57333333333333,1.29333333333333,27.5,53.19,6.23,20.8333333333333,2,0.0,irrigated,4,T0
150,286.54999999999995,276.34999999999997,12.9,117.016667,39.383333,132.66666666666703,1.38333333333333,1.37333333333333,21.9433333333333,40.01,7.17,21.7,0,0.0,irrigated,3,T-5%
205,296.54999999999995,284.25,21.0,126.183333,48.5,151.99999999999997,1.43333333333333,2.52666666666667,16.31,52.11,6.76,19.0666666666667,0,0.0,rainfed,1,T+5%
65,297.15,281.65,23.2,97.033333,40.266667,138.66666666666598,1.23333333333333,0.576666666666667,20.1233333333333,43.9,7.93,17.9333333333333,0,0.0,irrigated,7,T0
285,288.84999999999997,277.34999999999997,11.0,108.266667,34.283333,139.99999999999997,1.38666666666667,0.896666666666667,23.7466666666667,42.89,7.45333333333333,13.6333333333333,0,0.0,irrigated,4,T+5%
199,296.95,285.84999999999997,18.3,125.883333,48.05,164.66666666666697,1.44333333333333,2.14666666666667,19.9266666666667,56.35,6.98,21.3666666666667,0,0.0,rainfed,1,T+5%
257,284.54999999999995,273.04999999999995,13.2,83.0,46.733333,140.33333333333397,1.39333333333333,1.00666666666667,19.1733333333333,45.1866666666667,7.95,16.9666666666667,0,0.0,irrigated,9,T+10%
257,284.54999999999995,273.04999999999995,13.2,83.0,46.733333,140.33333333333397,1.39333333333333,1.00666666666667,19.1733333333333,45.1866666666667,7.95,16.9666666666667,0,0.0,irrigated,9,T0
