rain,tmax,srad,lon,lat,AWC,SBDM_mean,SLOC_mean,SLCL_mean,SLSI_mean,SLHW_mean,maxt1,rain1,srad1,maxt2,rain2,srad2,zone,scenario
75,288.04999999999995,12.4,114.516667,37.283333,125.33333333333302,1.50333333333333,2.00333333333333,22.2433333333333,36.09,7.04666666666667,12.521608040201,41.1,2056.8,28.4772727272727,34.0,968.8,4,T+10%
386,286.84999999999997,15.2,113.066667,36.05,130.333333333334,1.35333333333333,2.38666666666667,21.4333333333333,38.72,6.89666666666667,11.5545064377682,199.9,3237.0,26.3888888888889,112.9,814.1,3,T+5%
26,288.45,14.4,79.933333,37.133333,131.0,1.37333333333333,0.746666666666667,21.7266666666667,39.52,7.67666666666667,12.4209183673469,3.1,2495.5,28.2829787234043,22.6,1030.9,9,T-10%
83,300.45,23.3,119.016667,42.933333,108.00000000000028,1.25333333333333,1.82666666666667,14.99,32.43,6.87333333333333,21.75,24.0,1343.4,29.5883720930233,56.3,1027.6,1,T-5%
303,299.84999999999997,20.4,111.15,40.683333,126.66666666666698,1.32,1.21,19.6566666666667,38.1533333333333,7.3,24.7083333333333,70.5,1320.0,29.206976744186,220.9,776.1,2,T0
117,288.15,13.0,114.633333,37.883333,130.333333333334,1.52666666666667,1.28666666666667,21.9666666666667,38.7966666666667,6.95666666666667,12.566,48.0,2210.3,28.0288888888889,68.8,1028.2,4,T+5%
56,298.25,21.1,106.55,38.9,130.0,1.29333333333333,0.746666666666667,18.6733333333333,40.1133333333333,7.36333333333333,21.2817073170732,25.7,1604.4,29.2775510204082,30.7,1090.2,7,T-10%
61,295.65,16.6,102.266667,27.9,130.33333333333402,1.32333333333333,1.38,27.2433333333333,35.5666666666667,6.48666666666667,21.3858267716535,7.5,1961.5,25.8529411764706,53.6,1023.1,6,T+10%
155,285.65,12.8,114.633333,37.883333,130.333333333334,1.52666666666667,1.28666666666667,21.9666666666667,38.7966666666667,6.95666666666667,9.89855769230769,86.6,2438.5,27.7162790697674,68.3,857.8,4,T+5%
248,288.04999999999995,12.8,108.216667,34.25,140.0,1.38333333333333,0.66,22.01,43.4866666666667,7.61666666666667,13.2029850746269,135.9,2399.0,26.8638888888889,32.4,698.6,4,T+5%
64,300.54999999999995,23.3,93.516667,42.816667,150.66666666666697,1.36333333333333,0.886666666666667,22.71,48.69,7.89,24.3935064935065,15.6,1709.2,33.0592592592593,69.1,1372.1,9,T-10%
